freq_A,freq_B,freq_C,freq_D,freq_1,freq_2,first_char_A,first_char_B,first_char_C,first_char_D,first_char_1,first_char_2,last_char_A,last_char_B,last_char_C,last_char_D,last_char_1,last_char_2,count_AB,count_BA,count_CD,count_DC,count_12,count_21,letter_number_transitions,max_run_length,num_runs,entropy,letter_ratio,number_ratio
1,5,3,5,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7,2,15,2.4232196723355073,0.7,0.3
3,2,2,6,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,8,2,15,2.4282129458410013,0.65,0.35
2,7,4,1,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,4,17,2.3393538721672007,0.7,0.3
3,3,2,4,1,7,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,6,2,18,2.363865121950854,0.6,0.4
6,3,4,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,7,2,16,2.470950594454669,0.8,0.2
4,2,3,4,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,9,2,18,2.546439344671015,0.65,0.35
3,7,3,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,5,3,18,2.2261207468426805,0.85,0.15
3,3,4,3,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,8,2,18,2.5282129458410014,0.65,0.35
3,1,3,5,3,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,2,8,3,17,2.4477309221191605,0.6,0.4
3,3,2,5,3,4,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,1,0,9,2,18,2.5282129458410014,0.65,0.35
2,2,4,1,5,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,11,3,17,2.3659573209491747,0.45,0.55
4,1,4,6,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,6,3,17,2.3464393446710154,0.75,0.25
5,1,7,2,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,8,2,17,2.2588718484453603,0.75,0.25
1,5,4,4,4,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,8,2,17,2.4414460711655215,0.7,0.3
3,3,3,7,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,8,4,15,2.3883763717345072,0.8,0.2
3,3,5,5,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,7,3,16,2.4477309221191605,0.8,0.2
8,2,6,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,5,4,16,2.0086949695628418,0.85,0.15
1,8,1,4,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,2,16,2.2219280948873625,0.7,0.3
5,2,5,2,4,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,3,15,2.4609640474436816,0.7,0.3
2,5,2,4,2,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,9,2,18,2.460964047443681,0.65,0.35
3,5,3,3,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,10,2,18,2.4477309221191605,0.7,0.3
3,4,3,4,3,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,6,2,17,2.5709505944546684,0.7,0.3
2,2,6,2,2,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,5,3,17,2.3709505944546687,0.6,0.4
7,2,3,4,1,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,3,17,2.363865121950854,0.8,0.2
2,1,5,6,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,4,3,15,2.2854752972273342,0.7,0.3
3,4,3,3,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,11,2,18,2.5709505944546684,0.65,0.35
3,5,3,4,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,2,17,2.528212945841002,0.75,0.25
5,2,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,0,0,4,3,16,2.2854752972273342,0.9,0.1
6,2,4,2,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,9,3,17,2.3659573209491747,0.7,0.3
5,3,3,4,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,4,15,2.528212945841001,0.75,0.25
3,0,6,5,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,8,2,15,2.147730922119161,0.7,0.3
5,2,4,4,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,3,15,2.4414460711655215,0.75,0.25
5,3,5,4,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,3,15,2.4232196723355077,0.85,0.15
3,2,5,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,10,2,18,2.528212945841002,0.65,0.35
6,3,3,4,1,3,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,1,0,1,4,2,17,2.433206219346495,0.8,0.2
3,6,2,4,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,8,2,18,2.228212945841001,0.75,0.25
7,3,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,11,3,18,2.363865121950854,0.7,0.3
3,5,3,6,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,4,2,19,2.390468570732828,0.85,0.15
2,4,3,5,2,4,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,7,3,18,2.503701696057348,0.7,0.3
2,7,1,4,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,16,2.2588718484453603,0.7,0.3
0,5,6,4,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,1,5,2,17,2.2282129458410016,0.75,0.25
2,2,4,3,6,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,1,9,1,20,2.4709505944546684,0.55,0.45
2,3,3,3,7,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,13,2,19,2.4261207468426806,0.55,0.45
3,2,2,4,2,7,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,8,2,17,2.4016094970590274,0.55,0.45
2,2,6,4,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,9,2,17,2.3659573209491747,0.7,0.3
3,5,1,5,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,8,2,19,2.4232196723355077,0.7,0.3
5,3,4,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,11,2,18,2.503701696057348,0.7,0.3
4,8,1,1,2,4,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,10,2,17,2.221928094887362,0.7,0.3
3,2,1,5,6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,3,13,2.390468570732828,0.55,0.45
4,6,3,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,1,0,1,3,2,17,2.408694969562842,0.85,0.15
1,4,5,3,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,10,2,18,2.465957320949175,0.65,0.35
2,3,3,6,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,12,1,20,2.3904685707328284,0.7,0.3
5,5,1,3,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,10,2,18,2.4232196723355077,0.7,0.3
4,3,4,2,3,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,12,2,19,2.5464393446710156,0.65,0.35
4,6,2,2,2,4,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,9,2,18,2.446439344671015,0.7,0.3
4,4,2,1,3,6,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,11,2,19,2.4086949695628417,0.55,0.45
4,1,5,5,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,5,2,16,2.4232196723355077,0.75,0.25
3,5,3,2,4,3,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,7,3,16,2.528212945841002,0.65,0.35
5,4,3,3,3,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,9,2,17,2.528212945841001,0.75,0.25
3,3,2,6,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,8,2,16,2.4954618442383216,0.7,0.3
3,5,5,1,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,2,17,2.4232196723355077,0.7,0.3
4,2,3,3,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,2,18,2.5464393446710156,0.6,0.4
5,5,3,1,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,8,3,17,2.3427376486136673,0.7,0.3
4,4,3,1,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,10,2,17,2.4086949695628417,0.6,0.4
2,5,0,6,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7,2,15,2.2282129458410016,0.65,0.35
5,4,0,6,3,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,8,3,15,2.228212945841001,0.75,0.25
5,1,1,4,3,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,10,2,18,2.3282129458410017,0.55,0.45
4,2,5,3,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,10,2,19,2.5282129458410014,0.7,0.3
3,5,1,5,4,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,10,2,18,2.4232196723355077,0.7,0.3
2,2,2,2,4,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,8,3,13,2.321928094887362,0.4,0.6
2,4,2,5,1,6,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,8,3,15,2.365957320949175,0.65,0.35
4,2,2,3,4,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,11,3,17,2.503701696057348,0.55,0.45
3,6,1,1,4,5,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,2,7,2,17,2.3282129458410012,0.55,0.45
4,1,5,5,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,6,2,17,2.4232196723355073,0.75,0.25
3,5,4,3,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,4,16,2.5282129458410014,0.75,0.25
0,4,4,3,5,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,12,2,17,2.303701696057348,0.55,0.45
2,1,4,3,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,10,3,16,2.408694969562842,0.5,0.5
4,3,3,4,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,6,2,16,2.546439344671015,0.7,0.3
3,2,4,3,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,12,2,18,2.470950594454669,0.6,0.4
2,3,3,1,4,7,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,11,3,16,2.363865121950854,0.45,0.55
1,5,5,2,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,9,2,17,2.2854752972273342,0.65,0.35
4,6,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,3,5,2,16,2.165957320949175,0.55,0.45
3,3,6,2,4,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,6,3,16,2.4709505944546684,0.7,0.3
5,5,3,1,5,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,7,2,18,2.3427376486136673,0.7,0.3
5,1,1,4,5,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,12,2,18,2.360964047443681,0.55,0.45
1,2,1,5,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,8,3,14,2.2037016960573483,0.45,0.55
0,6,4,2,2,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,9,3,14,2.1709505944546685,0.6,0.4
4,1,3,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,3,14,1.7814963295286752,0.95,0.05
4,1,4,6,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,7,2,19,2.408694969562842,0.75,0.25
6,3,1,6,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,1,6,3,16,2.3332062193464953,0.8,0.2
2,3,5,3,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,17,2.485475297227334,0.65,0.35
4,1,5,2,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,11,1,20,2.4414460711655215,0.6,0.4
4,4,4,4,1,3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,6,2,17,2.484183719779189,0.8,0.2
3,4,2,4,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,1,20,2.5037016960573486,0.65,0.35
4,0,2,4,6,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,10,3,17,2.2464393446710154,0.5,0.5
3,3,2,5,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2,3,3,13,2.485475297227334,0.65,0.35
3,3,4,3,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,11,2,18,2.5709505944546684,0.65,0.35
3,4,2,3,2,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,7,2,15,2.4709505944546684,0.6,0.4
6,3,2,3,4,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,8,2,17,2.470950594454669,0.7,0.3
5,3,5,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,8,2,17,2.485475297227334,0.75,0.25
2,5,3,2,4,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,11,2,19,2.503701696057348,0.6,0.4
3,2,2,5,3,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,10,2,19,2.4854752972273344,0.6,0.4
3,5,6,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,2,18,2.390468570732828,0.85,0.15
2,3,8,3,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,2,18,2.346439344671015,0.8,0.2
3,4,2,5,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,3,17,2.5282129458410014,0.7,0.3
1,7,2,4,2,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,2,17,2.3393538721672007,0.7,0.3
0,2,5,4,4,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,2,11,2,18,2.2609640474436814,0.55,0.45
4,2,5,4,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,3,14,2.503701696057348,0.75,0.25
3,3,2,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,8,2,18,2.546439344671015,0.6,0.4
3,4,6,0,3,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,12,2,17,2.2709505944546686,0.65,0.35
2,5,2,3,5,3,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,1,1,8,3,17,2.485475297227334,0.6,0.4
3,1,5,4,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,7,2,17,2.3282129458410012,0.65,0.35
3,1,3,6,6,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,12,2,18,2.2954618442383214,0.65,0.35
2,5,4,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,10,2,18,2.503701696057348,0.7,0.3
