freq_1,freq_2,freq_A,freq_B,freq_C,freq_D,prop_1,prop_2,prop_A,prop_B,prop_C,prop_D,first_symbol_1,first_symbol_2,first_symbol_A,first_symbol_B,first_symbol_C,first_symbol_D,last_symbol_1,last_symbol_2,last_symbol_A,last_symbol_B,last_symbol_C,last_symbol_D,middle_symbol_1,middle_symbol_2,middle_symbol_A,middle_symbol_B,middle_symbol_C,middle_symbol_D,trans_11,trans_12,trans_1A,trans_1B,trans_1C,trans_1D,trans_21,trans_22,trans_2A,trans_2B,trans_2C,trans_2D,trans_A1,trans_A2,trans_AA,trans_AB,trans_AC,trans_AD,trans_B1,trans_B2,trans_BA,trans_BB,trans_BC,trans_BD,trans_C1,trans_C2,trans_CA,trans_CB,trans_CC,trans_CD,trans_D1,trans_D2,trans_DA,trans_DB,trans_DC,trans_DD,unique_symbols,longest_run,symbol_entropy,first_pos_1,first_pos_2,first_pos_A,first_pos_B,first_pos_C,first_pos_D,digit_count,letter_count,digit_prop,letter_prop
7,3,4,2,0,4,0.35,0.15,0.2,0.1,0.0,0.2,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,3,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,5,2.2016094970590276,8,0,1,4,-1,2,10,10,0.5,0.5
3,4,5,5,2,1,0.15,0.2,0.25,0.25,0.1,0.05,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,1,0,1,0,0,2,1,1,0,0,0,1,1,1,1,0,1,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,6,2,2.4232196723355077,3,2,1,0,12,10,7,13,0.35,0.65
6,4,3,3,2,2,0.3,0.2,0.15,0.15,0.1,0.1,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,0,1,0,1,1,1,1,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,2,2.470950594454669,2,5,1,15,0,3,10,10,0.5,0.5
1,6,1,2,6,4,0.05,0.3,0.05,0.1,0.3,0.2,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1,0,2,0,2,0,1,0,1,6,2,2.2709505944546686,18,1,11,14,3,0,7,13,0.35,0.65
3,3,5,1,3,5,0.15,0.15,0.25,0.05,0.15,0.25,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0,1,0,0,0,2,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,1,0,1,6,3,2.4477309221191605,3,4,7,18,0,6,6,14,0.3,0.7
4,0,9,4,3,0,0.2,0.0,0.45,0.2,0.15,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1,0,1,1,1,0,0,0,0,0,0,0,0,0,4,3,1,0,2,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,1.8577174691301483,0,-1,2,4,1,-1,4,16,0.2,0.8
3,5,2,4,4,2,0.15,0.25,0.1,0.2,0.2,0.1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0,0,2,0,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,1,2,0,0,0,0,1,0,1,0,0,6,2,2.503701696057348,5,3,2,0,1,6,8,12,0.4,0.6
2,4,2,5,4,3,0.1,0.2,0.1,0.25,0.2,0.15,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,2,0,0,0,2,0,0,1,1,2,0,1,0,1,0,0,1,0,0,1,1,6,2,2.503701696057348,8,0,3,1,7,13,6,14,0.3,0.7
3,2,3,5,3,4,0.15,0.1,0.15,0.25,0.15,0.2,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0,0,0,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,2,0,6,2,2.528212945841001,6,8,1,3,13,0,5,15,0.25,0.75
2,4,4,4,3,3,0.1,0.2,0.2,0.2,0.15,0.15,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0,1,0,1,0,0,0,0,2,1,1,0,0,0,1,1,0,2,0,2,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,0,6,2,2.546439344671015,5,7,1,3,4,0,6,14,0.3,0.7
